stable_path,operation_class,selected_in_top10_union,predicted_time_ns,predicted_share_of_e2e,predicted_rank,predicted_evidence_grade,predicted_generation_stage,predicted_uncertainty_interval_ns,predicted_method,observed_time_ns,observed_share_of_e2e,observed_rank,observed_evidence_grade,observed_generation_stage,observed_uncertainty_interval_ns,observed_method,observed_measurement_status,absolute_gap_ns,ratio,permitted_use,predicted_evidence_refs,observed_evidence_refs
semantic/workload/transformer-prefill/request/model-prefill/model/transformer/layer_0/attention/q_view,View,False,15000.0,0.009496072349339484,32,D,resource-model,"[7500.0,30000.0]",serialized-resource-model-with-dispatch-floor-v1,,,,,,null,,not-measured,,,hypothesis-only,"[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]",[]
semantic/workload/transformer-prefill/request/model-prefill/model/transformer/layer_0/attention/qk_matmul,MatMul,False,27997.029749843852,0.017724121338075143,11,D,resource-model,"[13998.514874921926,55994.059499687704]",serialized-resource-model-with-dispatch-floor-v1,,,,,,null,,not-measured,,,hypothesis-only,"[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]",[]
semantic/workload/transformer-prefill/request/model-prefill/model/transformer/layer_0/attention/scale,Mul,False,23830.47377725032,0.015086393540520429,21,D,resource-model,"[11915.23688862516,47660.94755450064]",serialized-resource-model-with-dispatch-floor-v1,,,,,,null,,not-measured,,,hypothesis-only,"[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]",[]
semantic/workload/transformer-prefill/request/model-prefill/model/transformer/layer_0/attention/softmax,Softmax,False,23830.47377725032,0.015086393540520429,22,D,resource-model,"[11915.23688862516,47660.94755450064]",serialized-resource-model-with-dispatch-floor-v1,,,,,,null,,not-measured,,,hypothesis-only,"[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]",[]
semantic/workload/transformer-prefill/request/model-prefill/model/transformer/layer_0/attention/v_proj,MatMul,False,27997.029749843852,0.017724121338075143,12,D,resource-model,"[13998.514874921926,55994.059499687704]",serialized-resource-model-with-dispatch-floor-v1,,,,,,null,,not-measured,,,hypothesis-only,"[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]",[]
semantic/workload/transformer-prefill/request/model-prefill/model/transformer/layer_0/attention/v_transpose,Transpose,False,15000.0,0.009496072349339484,33,D,resource-model,"[7500.0,30000.0]",serialized-resource-model-with-dispatch-floor-v1,,,,,,null,,not-measured,,,hypothesis-only,"[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]",[]
semantic/workload/transformer-prefill/request/model-prefill/model/transformer/layer_0/attention/v_view,View,False,15000.0,0.009496072349339484,34,D,resource-model,"[7500.0,30000.0]",serialized-resource-model-with-dispatch-floor-v1,,,,,,null,,not-measured,,,hypothesis-only,"[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]",[]
semantic/workload/transformer-prefill/request/model-prefill/model/transformer/layer_0/input_norm,RMSNorm,False,15000.0,0.009496072349339484,35,D,resource-model,"[7500.0,30000.0]",serialized-resource-model-with-dispatch-floor-v1,,,,,,null,,not-measured,,,hypothesis-only,"[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]",[]
semantic/workload/transformer-prefill/request/model-prefill/model/transformer/layer_0/mlp/down_proj,MatMul,True,111988.11899937541,0.07089648535230057,1,D,resource-model,"[55994.059499687704,223976.23799875082]",serialized-resource-model-with-dispatch-floor-v1,,,,,,null,,not-measured,,,hypothesis-only,"[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]",[]
semantic/workload/transformer-prefill/request/model-prefill/model/transformer/layer_0/mlp/gate_mul,Mul,False,17872.85533293774,0.011314795155390321,25,D,resource-model,"[8936.42766646887,35745.71066587548]",serialized-resource-model-with-dispatch-floor-v1,,,,,,null,,not-measured,,,hypothesis-only,"[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]",[]
semantic/workload/transformer-prefill/request/model-prefill/model/transformer/layer_0/mlp/gate_proj,MatMul,True,111988.11899937541,0.07089648535230057,2,D,resource-model,"[55994.059499687704,223976.23799875082]",serialized-resource-model-with-dispatch-floor-v1,,,,,,null,,not-measured,,,hypothesis-only,"[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]",[]
semantic/workload/transformer-prefill/request/model-prefill/model/transformer/layer_0/mlp/silu,SiLU,False,15000.0,0.009496072349339484,36,D,resource-model,"[7500.0,30000.0]",serialized-resource-model-with-dispatch-floor-v1,,,,,,null,,not-measured,,,hypothesis-only,"[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]",[]
semantic/workload/transformer-prefill/request/model-prefill/model/transformer/layer_0/mlp/up_proj,MatMul,True,111988.11899937541,0.07089648535230057,3,D,resource-model,"[55994.059499687704,223976.23799875082]",serialized-resource-model-with-dispatch-floor-v1,,,,,,null,,not-measured,,,hypothesis-only,"[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]",[]
semantic/workload/transformer-prefill/request/model-prefill/model/transformer/layer_0/post_norm,RMSNorm,False,15000.0,0.009496072349339484,37,D,resource-model,"[7500.0,30000.0]",serialized-resource-model-with-dispatch-floor-v1,,,,,,null,,not-measured,,,hypothesis-only,"[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]",[]
semantic/workload/transformer-prefill/request/model-prefill/model/transformer/layer_0/residual_1,Add,False,15000.0,0.009496072349339484,38,D,resource-model,"[7500.0,30000.0]",serialized-resource-model-with-dispatch-floor-v1,,,,,,null,,not-measured,,,hypothesis-only,"[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]",[]
semantic/workload/transformer-prefill/request/model-prefill/model/transformer/layer_0/residual_2,Add,False,15000.0,0.009496072349339484,39,D,resource-model,"[7500.0,30000.0]",serialized-resource-model-with-dispatch-floor-v1,,,,,,null,,not-measured,,,hypothesis-only,"[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]",[]
semantic/workload/transformer-prefill/request/model-prefill/model/transformer/layer_1/attention/causal_mask,Add,False,25319.878388328463,0.016029293136802954,20,D,resource-model,"[12659.939194164232,50639.75677665693]",serialized-resource-model-with-dispatch-floor-v1,,,,,,null,,not-measured,,,hypothesis-only,"[""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#ir/cost.ir.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#prediction/hardware-backend.json"",""run://ascend-910b2-transformer-demo-20260811-v1@sha256:8898cc5a3f0b36dd77e7510addcd289c504dcbfbdc1768a4394787939fa802c1#resolved/execution-contract.json"",""run://issue48-20260814T0002Z-schedule-frontier-unknown-v2@sha256:dd43fbd0f5ab5809a49de9bd8fac1a3b1acba0cd7fb578172b21ca878bd1d75d#comparison/model-e2e-frontier.json""]",[]
